id;value
Vale do Rio Guaribas;220800
Vale do Rio Guaribas;220820
Vale do Rio Guaribas;220865
Vale do Rio Guaribas;220910
Vale do Rio Guaribas;220935
Vale do Rio Guaribas;220940
Vale do Rio Guaribas;220985
Vale do Rio Guaribas;221020
Vale do Rio Guaribas;221030
Vale do Rio Guaribas;221037
Vale do Rio Guaribas;221070
Vale do Rio Guaribas;221093
Vale do Rio Guaribas;221150
Vale do Rio Guaribas;221160
Vale do Rio Guaribas;221170
Vale do Sambito;220090
Vale do Sambito;220117
Vale do Sambito;220350
Vale do Sambito;220400
Vale do Sambito;220470
Vale do Sambito;220559
Vale do Sambito;220690
Vale do Sambito;220810
Vale do Sambito;220860
Vale do Sambito;220915
Vale do Sambito;220960
Vale do Sambito;221038
Vale do Sambito;221130
Vale do Sambito;221140
Vale Rio Piauí/Itaueiras;220100
Vale Rio Piauí/Itaueiras;220170
Vale Rio Piauí/Itaueiras;220198
Vale Rio Piauí/Itaueiras;220225
Vale Rio Piauí/Itaueiras;220230
Vale Rio Piauí/Itaueiras;220380
Vale Rio Piauí/Itaueiras;220390
Vale Rio Piauí/Itaueiras;220410
Vale Rio Piauí/Itaueiras;220450
Vale Rio Piauí/Itaueiras;220510
Vale Rio Piauí/Itaueiras;220530
Vale Rio Piauí/Itaueiras;220560
Vale Rio Piauí/Itaueiras;220590
Vale Rio Piauí/Itaueiras;220600
Vale Rio Piauí/Itaueiras;220670
Vale Rio Piauí/Itaueiras;220730
Vale Rio Piauí/Itaueiras;220735
Vale Rio Piauí/Itaueiras;220785
Vale Rio Piauí/Itaueiras;220793
Vale Rio Piauí/Itaueiras;220795
Vale Rio Piauí/Itaueiras;220855
Vale Rio Piauí/Itaueiras;220887
Vale Rio Piauí/Itaueiras;220900
Vale Rio Piauí/Itaueiras;220970
Vale Rio Piauí/Itaueiras;221010
Vale Rio Piauí/Itaueiras;221039
Vale Rio Piauí/Itaueiras;221090
Vale Rio Piauí/Itaueiras;221095
Ignorado - PI;220000
Ignorado - PI;229999
1ª Região Fortaleza;230100
1ª Região Fortaleza;230428
1ª Região Fortaleza;230440
1ª Região Fortaleza;230625
2ª Região Caucaia;230090
2ª Região Caucaia;230370
2ª Região Caucaia;230460
2ª Região Caucaia;230630
2ª Região Caucaia;231020
2ª Região Caucaia;231025
2ª Região Caucaia;231070
2ª Região Caucaia;231240
2ª Região Caucaia;231260
2ª Região Caucaia;231335
3ª Região Maracanaú;230015
3ª Região Maracanaú;230195
3ª Região Maracanaú;230495
3ª Região Maracanaú;230765
3ª Região Maracanaú;230770
3ª Região Maracanaú;230970
3ª Região Maracanaú;231010
3ª Região Maracanaú;231160
4ª Região Baturité;230120
4ª Região Baturité;230140
4ª Região Baturité;230210
4ª Região Baturité;230290
4ª Região Baturité;230510
4ª Região Baturité;230650
4ª Região Baturité;230910
4ª Região Baturité;230980
5ª Região Canindé;230240
5ª Região Canindé;230280
5ª Região Canindé;230300
5ª Região Canindé;230660
5ª Região Canindé;230763
5ª Região Canindé;231040
6ª Região Itapipoca;230075
6ª Região Itapipoca;230640
6ª Região Itapipoca;230837
6ª Região Itapipoca;231350
6ª Região Itapipoca;231355
6ª Região Itapipoca;231375
6ª Região Itapipoca;231380
7ª Região Aracati;230110
7ª Região Aracati;230445
7ª Região Aracati;230535
7ª Região Aracati;230620
8ª Região Quixadá;230185
8ª Região Quixadá;230393
8ª Região Quixadá;230526
8ª Região Quixadá;230533
8ª Região Quixadá;230835
8ª Região Quixadá;231050
8ª Região Quixadá;231130
8ª Região Quixadá;231140
8ª Região Quixadá;231270
8ª Região Quixadá;231300
9ª Região Russas;230670
9ª Região Russas;230700
9ª Região Russas;230870
9ª Região Russas;231000
9ª Região Russas;231180
10ª Região Limoeiro Nort;230070
10ª Região Limoeiro Nort;230427
10ª Região Limoeiro Nort;230600
10ª Região Limoeiro Nort;230680
10ª Região Limoeiro Nort;230690
10ª Região Limoeiro Nort;230760
10ª Região Limoeiro Nort;231080
10ª Região Limoeiro Nort;231123
10ª Região Limoeiro Nort;231150
10ª Região Limoeiro Nort;231250
10ª Região Limoeiro Nort;231310
11ª Região Sobral;230050
11ª Região Sobral;230310
11ª Região Sobral;230365
11ª Região Sobral;230400
11ª Região Sobral;230435
11ª Região Sobral;230450
11ª Região Sobral;230465
11ª Região Sobral;230490
11ª Região Sobral;230520
11ª Região Sobral;230580
11ª Região Sobral;230610
11ª Região Sobral;230800
11ª Região Sobral;230820
11ª Região Sobral;230880
11ª Região Sobral;230900
11ª Região Sobral;230990
11ª Região Sobral;231095
11ª Região Sobral;231170
11ª Região Sobral;231200
11ª Região Sobral;231220
11ª Região Sobral;231280
11ª Região Sobral;231290
11ª Região Sobral;231390
11ª Região Sobral;231395
12ª Região Acaraú;230020
12ª Região Acaraú;230230
12ª Região Acaraú;230425
12ª Região Acaraú;230655
12ª Região Acaraú;230725
12ª Região Acaraú;230780
12ª Região Acaraú;230890
13ª Região Tianguá;230340
13ª Região Tianguá;230423
13ª Região Tianguá;230500
13ª Região Tianguá;230530
13ª Região Tianguá;231230
13ª Região Tianguá;231340
13ª Região Tianguá;231360
13ª Região Tianguá;231410
14ª Região Tauá;230040
14ª Região Tauá;230150
14ª Região Tauá;231030
14ª Região Tauá;231330
15ª Região Crateús;230125
15ª Região Crateús;230410
15ª Região Crateús;230560
15ª Região Crateús;230565
15ª Região Crateús;230590
15ª Região Crateús;230860
15ª Região Crateús;230930
15ª Região Crateús;230940
15ª Região Crateús;231100
15ª Região Crateús;231126
15ª Região Crateús;231320
16ª Região Camocim;230205
16ª Região Camocim;230260
16ª Região Camocim;230390
16ª Região Camocim;230470
16ª Região Camocim;230790
17ª Região Icó;230180
17ª Região Icó;230380
17ª Região Icó;230540
17ª Região Icó;230570
17ª Região Icó;230750
17ª Região Icó;230950
17ª Região Icó;231370
18ª Região Iguatú;230030
18ª Região Iguatú;230330
18ª Região Iguatú;230360
18ª Região Iguatú;230426
18ª Região Iguatú;230550
18ª Região Iguatú;230740
18ª Região Iguatú;230850
18ª Região Iguatú;231090
18ª Região Iguatú;231135
18ª Região Iguatú;231190
19ª Região Brejo Santo;230010
19ª Região Brejo Santo;230170
19ª Região Brejo Santo;230200
19ª Região Brejo Santo;230250
19ª Região Brejo Santo;230720
19ª Região Brejo Santo;230810
19ª Região Brejo Santo;230830
19ª Região Brejo Santo;231060
19ª Região Brejo Santo;231110
20ª Região Crato;230060
20ª Região Crato;230080
20ª Região Crato;230130
20ª Região Crato;230160
20ª Região Crato;230270
20ª Região Crato;230420
20ª Região Crato;230430
20ª Região Crato;230920
20ª Região Crato;231120
20ª Região Crato;231195
20ª Região Crato;231210
20ª Região Crato;231325
20ª Região Crato;231400
21ª Região Juazeiro Nort;230190
21ª Região Juazeiro Nort;230320
21ª Região Juazeiro Nort;230480
21ª Região Juazeiro Nort;230710
21ª Região Juazeiro Nort;230730
21ª Região Juazeiro Nort;230840
22ª Região Cascavel;230220
22ª Região Cascavel;230350
22ª Região Cascavel;230395
22ª Região Cascavel;230523
22ª Região Cascavel;230945
22ª Região Cascavel;230960
22ª Região Cascavel;231085
Ignorado - CE;230000
Ignorado - CE;239999
São José de Mipibu;240120
São José de Mipibu;240140
São José de Mipibu;240180
São José de Mipibu;240220
São José de Mipibu;240350
São José de Mipibu;240420
São José de Mipibu;240615
São José de Mipibu;240620
São José de Mipibu;240630
São José de Mipibu;240660
São José de Mipibu;240770
São José de Mipibu;240780
São José de Mipibu;240790
São José de Mipibu;240820
São José de Mipibu;240830
São José de Mipibu;240910
São José de Mipibu;240920
São José de Mipibu;240980
São José de Mipibu;241150
São José de Mipibu;241220
São José de Mipibu;241320
São José de Mipibu;241330
São José de Mipibu;241350
São José de Mipibu;241420
São José de Mipibu;241470
São José de Mipibu;241480
São José de Mipibu;241500
Mossoró;240100
Mossoró;240110
Mossoró;240130
Mossoró;240145
Mossoró;240230
Mossoró;240370
Mossoró;240430
Mossoró;240440
Mossoró;240520
Mossoró;240760
Mossoró;240800
Mossoró;241105
Mossoró;241335
Mossoró;241460
João Câmara;240030
João Câmara;240160
João Câmara;240185
João Câmara;240190
João Câmara;240260
João Câmara;240410
João Câmara;240450
João Câmara;240460
João Câmara;240510
João Câmara;240550
João Câmara;240580
João Câmara;240670
João Câmara;240720
João Câmara;240750
João Câmara;240880
João Câmara;240895
João Câmara;240950
João Câmara;240960
João Câmara;240970
João Câmara;241010
João Câmara;241040
João Câmara;241090
João Câmara;241160
João Câmara;241255
João Câmara;241390
João Câmara;241440
Caicó;240010
Caicó;240165
Caicó;240200
Caicó;240240
Caicó;240270
Caicó;240300
Caicó;240310
Caicó;240340
Caicó;240380
Caicó;240480
Caicó;240560
Caicó;240570
Caicó;240610
Caicó;240650
Caicó;240850
Caicó;240890
Caicó;241140
Caicó;241142
Caicó;241180
Caicó;241210
Caicó;241240
Caicó;241300
Caicó;241340
Caicó;241415
Caicó;241430
